iter	Passed	Remaining
455	915	1092
456	917	1090
457	919	1088
458	921	1086
459	924	1084
460	926	1083
461	928	1080
462	930	1078
463	932	1076
464	934	1074
465	936	1073
466	938	1071
467	940	1069
468	943	1067
469	945	1066
470	947	1064
471	950	1062
472	951	1060
473	954	1058
474	956	1057
475	958	1055
476	960	1053
477	962	1051
478	964	1048
479	966	1046
480	967	1044
481	969	1042
482	972	1040
483	974	1039
484	976	1037
485	978	1034
486	980	1032
487	982	1030
488	984	1028
489	986	1026
490	988	1025
491	990	1022
492	992	1021
493	994	1018
494	996	1016
495	998	1014
496	1000	1012
497	1002	1010
498	1004	1008
499	1006	1006
500	1008	1004
501	1010	1002
502	1012	1000
503	1014	998
504	1016	996
505	1018	994
506	1021	993
507	1023	990
508	1025	988
509	1026	986
510	1028	984
511	1030	982
512	1032	980
513	1034	978
514	1036	976
515	1038	974
516	1040	971
517	1042	969
518	1044	967
519	1045	965
520	1047	963
521	1049	961
522	1051	959
523	1053	956
524	1055	954
525	1057	952
526	1058	950
527	1060	948
528	1062	946
529	1064	943
530	1066	941
531	1067	939
532	1069	937
533	1071	935
534	1073	933
535	1075	930
536	1077	928
537	1079	926
538	1081	924
539	1083	922
540	1085	920
541	1087	918
542	1088	916
543	1090	914
544	1092	912
545	1094	910
546	1096	908
547	1098	905
548	1099	903
549	1101	901
550	1103	899
551	1105	897
552	1107	895
553	1109	893
554	1111	891
555	1113	888
556	1115	886
557	1116	884
558	1118	882
559	1120	880
560	1122	878
561	1124	876
562	1126	874
563	1128	872
564	1130	870
565	1132	868
566	1134	866
567	1136	864
568	1138	862
569	1140	860
570	1142	858
571	1145	857
572	1148	855
573	1150	853
574	1152	851
575	1155	850
576	1157	848
577	1159	846
578	1161	844
579	1163	842
580	1165	840
581	1167	838
582	1169	836
583	1171	834
584	1173	832
585	1175	830
586	1177	828
587	1179	826
588	1181	824
589	1183	822
590	1185	820
591	1187	818
592	1189	816
593	1191	814
594	1193	812
595	1195	810
596	1197	808
597	1200	806
598	1201	804
599	1203	802
600	1205	800
601	1207	798
602	1209	796
603	1211	794
604	1213	792
605	1215	790
606	1218	788
607	1220	786
608	1222	784
609	1224	782
610	1225	780
611	1227	778
612	1229	776
613	1231	774
614	1233	772
615	1235	770
616	1237	768
617	1239	766
618	1241	764
619	1243	762
620	1245	760
621	1247	758
622	1249	756
623	1251	754
624	1253	752
625	1255	750
626	1257	748
627	1259	746
628	1261	744
629	1263	742
630	1265	740
631	1267	737
632	1269	735
633	1271	733
634	1273	731
635	1275	729
636	1277	727
637	1279	725
638	1281	723
639	1283	721
640	1285	719
641	1287	718
642	1290	716
643	1292	714
644	1294	712
645	1296	710
646	1298	708
647	1300	706
648	1302	704
649	1304	702
650	1306	700
651	1308	698
652	1310	696
653	1312	694
654	1313	692
655	1316	690
656	1318	688
657	1320	686
658	1322	684
659	1325	682
660	1327	680
661	1329	678
662	1331	677
663	1334	675
664	1336	673
665	1338	671
666	1340	669
667	1342	667
668	1345	665
669	1347	663
670	1349	661
671	1351	659
672	1353	657
673	1355	655
674	1357	653
675	1359	651
676	1361	649
677	1363	647
678	1365	645
679	1367	643
680	1369	641
681	1371	639
682	1373	637
683	1375	635
684	1377	633
685	1379	631
686	1381	629
687	1383	627
688	1385	625
689	1387	623
690	1388	621
691	1390	619
692	1392	617
693	1394	615
694	1396	613
695	1398	610
696	1400	608
697	1402	606
698	1404	604
699	1405	602
700	1407	600
701	1409	598
702	1411	596
703	1413	594
704	1415	592
705	1417	590
706	1419	588
707	1421	586
708	1422	584
709	1424	581
710	1426	579
711	1428	577
712	1430	575
713	1432	573
714	1434	571
715	1435	569
716	1437	567
717	1439	565
718	1441	563
719	1443	561
720	1445	559
721	1446	557
722	1449	555
723	1450	553
724	1452	551
725	1454	548
726	1456	546
727	1458	544
728	1460	542
729	1462	540
730	1463	538
731	1465	536
732	1467	534
733	1469	532
734	1471	530
735	1473	528
736	1475	526
737	1477	524
738	1479	522
739	1481	520
740	1483	518
741	1485	516
742	1487	514
743	1489	512
744	1491	510
745	1493	508
746	1494	506
747	1496	504
748	1498	502
749	1500	500
750	1502	498
751	1504	496
752	1506	494
753	1508	492
754	1510	490
755	1512	488
756	1513	485
757	1516	484
758	1518	482
759	1520	480
760	1522	478
761	1523	475
762	1525	473
763	1528	472
764	1530	470
765	1532	468
766	1534	466
767	1537	464
768	1539	462
769	1542	460
770	1544	458
771	1546	456
772	1548	454
773	1550	452
774	1552	450
775	1554	448
776	1556	446
777	1558	444
778	1560	442
779	1562	440
780	1564	438
781	1566	436
782	1568	434
783	1570	432
784	1572	430
785	1574	428
786	1576	426
787	1578	424
788	1580	422
789	1583	420
790	1584	418
791	1586	416
792	1588	414
793	1590	412
794	1593	410
795	1594	408
796	1596	406
797	1599	404
798	1600	402
799	1602	400
800	1604	398
801	1606	396
802	1608	394
803	1610	392
804	1612	390
805	1614	388
806	1616	386
807	1618	384
808	1620	382
809	1622	380
810	1624	378
811	1626	376
812	1628	374
813	1630	372
814	1632	370
815	1634	368
816	1637	366
817	1639	364
818	1641	362
819	1643	360
820	1645	358
821	1647	356
822	1649	354
823	1651	352
824	1653	350
825	1655	348
826	1657	346
827	1659	344
828	1661	342
829	1663	340
830	1665	338
831	1667	336
832	1669	334
833	1671	332
834	1673	330
835	1675	328
836	1677	326
837	1679	324
838	1680	322
839	1682	320
840	1685	318
841	1686	316
842	1688	314
843	1690	312
844	1692	310
845	1694	308
846	1696	306
847	1698	304
848	1700	302
849	1702	300
850	1704	298
851	1706	296
852	1707	294
853	1710	292
854	1712	290
855	1714	288
856	1715	286
857	1718	284
858	1720	282
859	1722	280
860	1724	278
861	1727	276
862	1729	274
863	1731	272
864	1733	270
865	1735	268
866	1737	266
867	1739	264
868	1741	262
869	1744	260
870	1746	258
871	1748	256
872	1750	254
873	1752	252
874	1754	250
875	1756	248
876	1758	246
877	1760	244
878	1762	242
879	1764	240
880	1766	238
881	1768	236
882	1770	234
883	1772	232
884	1773	230
885	1775	228
886	1777	226
887	1779	224
888	1781	222
889	1783	220
890	1785	218
891	1787	216
892	1789	214
893	1791	212
894	1793	210
895	1795	208
896	1797	206
897	1799	204
898	1801	202
899	1803	200
900	1805	198
901	1808	196
902	1810	194
903	1812	192
904	1814	190
905	1816	188
906	1818	186
907	1820	184
908	1822	182
909	1824	180
910	1826	178
911	1827	176
912	1829	174
913	1831	172
914	1833	170
915	1835	168
916	1837	166
917	1839	164
918	1841	162
919	1843	160
920	1845	158
921	1847	156
922	1849	154
923	1851	152
924	1853	150
925	1855	148
926	1857	146
927	1859	144
928	1861	142
929	1862	140
930	1865	138
931	1867	136
932	1869	134
933	1871	132
934	1873	130
935	1875	128
936	1876	126
937	1878	124
938	1881	122
939	1882	120
940	1884	118
941	1886	116
942	1888	114
943	1890	112
944	1892	110
945	1894	108
946	1896	106
947	1898	104
948	1900	102
949	1902	100
950	1905	98
951	1907	96
952	1909	94
953	1912	92
954	1914	90
955	1916	88
956	1918	86
957	1920	84
958	1923	82
959	1926	80
960	1928	78
961	1930	76
962	1932	74
963	1933	72
964	1935	70
965	1938	68
966	1940	66
967	1942	64
968	1943	62
969	1945	60
970	1947	58
971	1949	56
972	1951	54
973	1953	52
974	1955	50
975	1957	48
976	1959	46
977	1961	44
978	1962	42
979	1965	40
980	1967	38
981	1969	36
982	1970	34
983	1972	32
984	1974	30
985	1976	28
986	1979	26
987	1981	24
988	1983	22
989	1985	20
990	1987	18
991	1989	16
992	1991	14
993	1993	12
994	1995	10
995	1997	8
996	1999	6
997	2002	4
998	2004	2
999	2006	0
