iter	Logloss
0	0.6828421429
1	0.6727782221
2	0.663112703
3	0.653833911
4	0.6455263245
5	0.6356568424
6	0.6264289481
7	0.6180610018
8	0.608670624
9	0.5990006222
10	0.5903062606
11	0.5829608933
12	0.5742805122
13	0.5658077678
14	0.5569403409
15	0.5492854215
16	0.540915274
17	0.5327283469
18	0.5254954693
19	0.5181675929
20	0.5107872145
21	0.504798527
22	0.4983152926
23	0.4913460611
24	0.484012717
25	0.4781538064
26	0.4721600117
27	0.4653436278
28	0.4595076318
29	0.4533011828
30	0.4484233469
31	0.4429048347
32	0.4377764416
33	0.4326962039
34	0.4267591797
35	0.4206332452
36	0.4147277591
37	0.4095415126
38	0.4043448152
39	0.3987769989
40	0.393667688
41	0.3889988727
42	0.384078119
43	0.3789978709
44	0.3745835513
45	0.36997209
46	0.3664980002
47	0.3623248189
48	0.3579964935
49	0.3534511864
50	0.3493606841
51	0.3449388122
52	0.3410457848
53	0.3369737683
54	0.3330858107
55	0.3292236585
56	0.3246125582
57	0.3209852676
58	0.3174612367
59	0.3135889283
60	0.3104460597
61	0.3074514763
62	0.3039978929
63	0.3011416046
64	0.2980030047
65	0.294493363
66	0.2918305749
67	0.2892385113
68	0.2859565657
69	0.2836025408
70	0.280436942
71	0.2778205308
72	0.2754512718
73	0.2724424053
74	0.2695345737
75	0.2669116984
76	0.2640415525
77	0.2613209283
78	0.2583153063
79	0.2560894789
80	0.2537639255
81	0.2510096121
82	0.2481996933
83	0.2458112402
84	0.2436631063
85	0.2414387018
86	0.2390221011
87	0.2365805398
88	0.2346083366
89	0.2323750979
90	0.2304293707
91	0.2281922088
92	0.2264626452
93	0.2244154956
94	0.222707294
95	0.2206741328
96	0.2186269117
97	0.2164423405
98	0.2149933278
99	0.2128024496
100	0.210864019
101	0.2088700765
102	0.2070684165
103	0.2055839578
104	0.2038466789
105	0.2021653967
106	0.2004563835
107	0.1985216231
108	0.1970943314
109	0.1954846591
110	0.1940937829
111	0.1927729584
112	0.1914911465
113	0.1901139999
114	0.1887748019
115	0.187274904
116	0.185704374
117	0.184474168
118	0.1831778529
119	0.1815184133
120	0.1803625139
121	0.1791662226
122	0.1773890371
123	0.1758783072
124	0.1746623481
125	0.1732991604
126	0.171711542
127	0.1707782974
128	0.1699483665
129	0.1686257399
130	0.1671347151
131	0.1661284475
132	0.1649393222
133	0.1637788958
134	0.1630064903
135	0.1619889048
136	0.1611220963
137	0.1598927113
138	0.1587803313
139	0.15753531
140	0.1565175326
141	0.1557214587
142	0.1547818525
143	0.1536770936
144	0.1527747399
145	0.1517742164
146	0.1507731973
147	0.1499335432
148	0.1488333446
149	0.1476684507
150	0.146879065
151	0.1461808753
152	0.1452083936
153	0.1445962853
154	0.1436036008
155	0.1426483492
156	0.1415485348
157	0.1406001359
158	0.139779717
159	0.1386759323
160	0.137661449
161	0.1367603188
162	0.1358015644
163	0.1348851804
164	0.1340377085
165	0.133047517
166	0.1322940221
167	0.1316397354
168	0.1308746348
169	0.1300255482
170	0.1293717932
171	0.1283928874
172	0.127647554
173	0.1268714177
174	0.1261878195
175	0.1255440927
176	0.1247293614
177	0.1240514916
178	0.123536632
179	0.1229882816
180	0.1221065988
181	0.1215899985
182	0.1210578258
183	0.1202526748
184	0.1194455299
185	0.1187763163
186	0.1181184154
187	0.1174063117
188	0.1167022338
189	0.1162441169
190	0.1155642712
191	0.1148654084
192	0.1141863251
193	0.1137073683
194	0.1132060755
195	0.1126207114
196	0.1120435485
197	0.1113238887
198	0.1106485533
199	0.1101438498
200	0.1095624001
201	0.1088881043
202	0.1083154037
203	0.1077970565
204	0.1072942556
205	0.1067974763
206	0.1062130559
207	0.1057341894
208	0.1050696417
209	0.1044792145
210	0.1040833899
211	0.1034980117
212	0.1029940802
213	0.1023014116
214	0.1019615372
215	0.1014865907
216	0.1008796195
217	0.1004677505
218	0.09999690017
219	0.09956435245
220	0.09920826162
221	0.09881951324
222	0.09826927841
223	0.09753100768
